Colegio,Localidad,Estrato,Puntaje_Lenguaje,Puntaje_Matematicas,Puntaje_Ciencias,Puntaje_Sociales,Puntaje_Ingles,Acceso_Internet_Hogar_x,Repitente,Genero,Puntaje_Global,Poblacion_Total,Ingreso_Promedio,Indice_Pobreza,Tasa_Desempleo,Nivel_Educativo_Promedio,Cobertura_Salud,Indice_Calidad_Vida,Tasa_Asistencia,Horas_Estudio
Colegio_26,Rafael Uribe Uribe,3,34.4,70.9,66.7,60.2,61.5,0,1,F,58.7,222600,1728859,20.1,7.0,8.9,84.2,37.8,80.0,14.6
Colegio_28,Suba,3,39.5,60.4,57.9,61.8,77.5,1,1,M,59.4,829007,2455432,8.3,7.4,10.2,87.3,75.0,87.9,19.6
Colegio_4,La Candelaria,5,54.1,54.7,71.0,53.5,88.7,1,1,F,64.4,171142,1311336,23.8,11.6,9.2,84.1,30.3,89.8,5.1
Colegio_36,Puente Aranda,3,38.2,36.8,70.7,67.9,50.6,1,0,F,52.8,246116,1732058,14.5,8.9,9.4,88.2,41.2,76.2,13.1
Colegio_15,Suba,5,62.9,50.8,60.4,41.7,64.8,1,1,F,56.1,829007,2455432,8.3,7.4,10.2,87.3,75.0,90.2,4.0
Colegio_22,Santa Fe,2,48.9,64.4,45.0,45.0,26.2,1,1,F,45.9,339318,1479614,21.0,9.6,9.4,85.8,37.6,79.3,11.3
Colegio_24,Antonio Nariño,3,73.6,65.9,48.9,58.6,54.1,1,1,M,60.2,179797,1489362,18.5,9.3,8.2,83.7,26.2,76.6,9.3
Colegio_24,Ciudad Bolívar,3,60.1,35.0,58.3,36.2,62.4,0,1,M,50.4,633863,1673046,16.4,8.8,9.0,92.3,36.4,98.7,19.4
Colegio_37,Usme,1,53.4,42.3,53.5,38.5,32.6,1,0,M,44.1,495408,1505279,18.8,9.0,9.8,86.0,41.1,99.1,12.2
Colegio_5,Barrios Unidos,3,60.1,51.9,45.0,65.6,75.6,1,1,F,59.6,246732,2464266,14.4,8.9,10.2,88.7,70.4,95.2,7.0
Colegio_6,Kennedy,6,43.8,50.6,65.3,57.9,52.8,1,1,F,54.1,1011301,1855181,16.9,8.3,9.3,88.9,49.2,82.6,2.3
Colegio_10,Teusaquillo,3,72.4,62.6,49.5,49.9,66.9,1,1,F,60.3,194327,2990383,5.1,7.0,10.5,94.4,90.1,77.4,3.0
Colegio_3,Sumapaz,5,67.6,36.3,42.6,47.5,25.5,0,1,F,43.9,344465,1626165,19.6,7.6,8.7,85.7,34.7,92.1,4.5
Colegio_38,Antonio Nariño,4,58.0,46.5,61.0,43.5,42.0,1,1,F,50.2,179797,1489362,18.5,9.3,8.2,83.7,26.2,86.0,5.0
Colegio_34,Fontibón,5,78.2,64.9,47.5,41.9,69.4,0,1,M,60.4,475856,2414409,10.7,7.7,9.3,88.8,61.6,78.1,17.0
Colegio_6,La Candelaria,3,37.4,66.0,43.5,35.3,55.2,1,1,M,47.5,171142,1311336,23.8,11.6,9.2,84.1,30.3,87.4,11.2
Colegio_10,Los Mártires,2,64.7,37.6,56.1,46.5,62.5,1,1,F,53.5,324447,1274484,23.8,8.6,9.0,86.0,27.6,75.9,10.5
Colegio_16,Usaquén,1,69.4,62.3,88.8,70.0,60.8,1,1,F,70.3,342004,3238341,5.0,7.2,10.1,93.8,94.4,97.7,2.3
Colegio_29,Tunjuelito,5,61.0,38.0,49.0,56.6,56.5,0,1,M,52.2,270499,1603700,19.6,10.3,9.7,89.3,44.5,81.5,17.2
Colegio_3,Sumapaz,3,53.1,62.3,54.7,45.4,83.4,1,1,M,59.8,344465,1626165,19.6,7.6,8.7,85.7,34.7,91.6,14.5
Colegio_11,Antonio Nariño,4,30.3,63.3,50.4,48.4,62.9,1,1,F,51.1,179797,1489362,18.5,9.3,8.2,83.7,26.2,82.8,1.4
Colegio_37,San Cristóbal,1,68.0,57.0,55.4,58.2,63.6,1,1,M,60.5,404902,1665631,20.3,10.8,9.1,86.7,40.2,88.0,14.2
Colegio_4,Ciudad Bolívar,5,49.9,43.3,38.0,54.3,40.4,1,1,F,45.2,633863,1673046,16.4,8.8,9.0,92.3,36.4,88.7,10.9
Colegio_4,Antonio Nariño,3,54.1,31.2,51.7,55.7,71.8,1,1,M,52.9,179797,1489362,18.5,9.3,8.2,83.7,26.2,79.6,1.6
Colegio_24,Usaquén,2,66.8,72.2,67.4,23.7,70.6,1,0,F,60.1,342004,3238341,5.0,7.2,10.1,93.8,94.4,99.2,9.2
Colegio_28,Antonio Nariño,3,66.9,37.4,39.1,68.9,19.4,1,1,F,46.3,179797,1489362,18.5,9.3,8.2,83.7,26.2,94.4,9.7
Colegio_35,Sumapaz,3,41.1,47.0,72.9,57.4,60.1,0,1,F,55.7,344465,1626165,19.6,7.6,8.7,85.7,34.7,98.5,3.3
Colegio_38,Usaquén,3,43.1,51.8,34.5,55.9,56.8,1,1,F,48.4,342004,3238341,5.0,7.2,10.1,93.8,94.4,97.4,18.9
Colegio_24,Rafael Uribe Uribe,4,46.5,55.4,65.8,69.5,46.8,1,1,F,56.8,222600,1728859,20.1,7.0,8.9,84.2,37.8,89.9,17.0
Colegio_22,Bosa,3,63.3,61.4,66.7,40.3,76.0,1,1,M,61.5,748890,1774895,15.5,7.8,9.2,86.0,44.0,98.0,13.4
Colegio_26,Engativá,5,68.0,60.1,68.1,44.2,47.8,1,1,F,57.6,945826,2815166,9.2,8.6,10.2,91.6,85.3,77.2,9.2
Colegio_18,Santa Fe,5,61.0,57.5,56.4,71.5,61.6,1,0,F,61.6,339318,1479614,21.0,9.6,9.4,85.8,37.6,79.9,8.2
Colegio_3,Chapinero,1,49.7,52.5,58.9,49.4,40.0,1,1,F,50.1,153158,2764676,5.3,7.4,10.3,96.3,83.6,76.1,13.0
Colegio_11,Puente Aranda,4,53.3,44.1,63.8,47.2,52.1,0,1,F,52.1,246116,1732058,14.5,8.9,9.4,88.2,41.2,83.1,10.9
Colegio_9,Antonio Nariño,4,71.6,66.9,38.6,45.4,44.0,1,1,M,53.3,179797,1489362,18.5,9.3,8.2,83.7,26.2,84.7,1.2
Colegio_33,San Cristóbal,2,41.5,59.6,61.8,43.5,67.9,0,1,M,54.9,404902,1665631,20.3,10.8,9.1,86.7,40.2,81.8,10.3
Colegio_26,San Cristóbal,5,64.4,63.5,45.2,57.4,59.6,1,1,F,58.0,404902,1665631,20.3,10.8,9.1,86.7,40.2,95.7,16.1
Colegio_36,Suba,5,53.7,52.4,55.1,69.5,38.1,1,0,F,53.8,829007,2455432,8.3,7.4,10.2,87.3,75.0,83.9,9.2
Colegio_4,Barrios Unidos,2,60.9,63.7,71.8,49.5,56.8,1,1,M,60.5,246732,2464266,14.4,8.9,10.2,88.7,70.4,82.0,1.0
Colegio_2,Ciudad Bolívar,5,55.3,25.7,61.9,59.0,66.7,1,1,M,53.7,633863,1673046,16.4,8.8,9.0,92.3,36.4,88.6,15.7
Colegio_8,Santa Fe,4,67.4,67.9,45.0,58.4,43.3,1,1,F,56.4,339318,1479614,21.0,9.6,9.4,85.8,37.6,78.5,4.0
Colegio_7,Teusaquillo,4,61.4,52.6,74.0,55.7,48.1,1,1,F,58.3,194327,2990383,5.1,7.0,10.5,94.4,90.1,95.1,5.2
Colegio_36,Barrios Unidos,4,55.8,49.5,39.7,64.8,53.2,1,0,M,52.6,246732,2464266,14.4,8.9,10.2,88.7,70.4,76.9,3.3
Colegio_34,Tunjuelito,2,82.2,48.6,44.9,66.8,59.3,1,0,M,60.4,270499,1603700,19.6,10.3,9.7,89.3,44.5,99.7,6.6
Colegio_40,Engativá,1,70.0,47.3,66.7,70.7,58.1,1,0,M,62.6,945826,2815166,9.2,8.6,10.2,91.6,85.3,94.3,15.1
Colegio_19,Santa Fe,4,58.3,55.2,46.3,65.3,74.1,1,1,F,59.8,339318,1479614,21.0,9.6,9.4,85.8,37.6,80.0,10.4
Colegio_29,Bosa,3,64.3,57.6,63.5,76.7,47.0,1,1,M,61.8,748890,1774895,15.5,7.8,9.2,86.0,44.0,75.1,4.1
Colegio_39,Ciudad Bolívar,2,56.4,74.3,63.0,37.7,69.0,0,1,M,60.1,633863,1673046,16.4,8.8,9.0,92.3,36.4,95.4,17.6
Colegio_6,Sumapaz,2,46.7,55.4,56.5,52.2,60.2,1,1,F,54.2,344465,1626165,19.6,7.6,8.7,85.7,34.7,92.7,17.6
Colegio_10,Puente Aranda,5,34.3,41.0,62.9,46.9,72.5,1,1,F,51.5,246116,1732058,14.5,8.9,9.4,88.2,41.2,93.2,17.4
Colegio_5,Bosa,3,79.8,82.1,49.2,45.1,64.5,1,1,M,64.1,748890,1774895,15.5,7.8,9.2,86.0,44.0,94.3,4.8
Colegio_24,Santa Fe,5,49.7,54.5,46.6,59.9,54.3,1,0,M,53.0,339318,1479614,21.0,9.6,9.4,85.8,37.6,76.9,9.0
Colegio_22,Kennedy,3,62.1,53.1,53.4,55.5,51.7,1,1,F,55.2,1011301,1855181,16.9,8.3,9.3,88.9,49.2,84.0,19.7
Colegio_26,Los Mártires,1,70.2,48.6,54.8,86.6,66.0,1,1,F,65.2,324447,1274484,23.8,8.6,9.0,86.0,27.6,77.9,15.4
Colegio_37,Kennedy,2,49.7,38.2,43.9,42.0,65.7,1,1,M,47.9,1011301,1855181,16.9,8.3,9.3,88.9,49.2,96.6,0.5
Colegio_29,San Cristóbal,5,51.7,69.7,31.7,30.3,68.3,0,1,M,50.3,404902,1665631,20.3,10.8,9.1,86.7,40.2,90.6,1.3
Colegio_36,Bosa,2,61.2,40.7,68.9,71.8,50.6,0,1,F,58.7,748890,1774895,15.5,7.8,9.2,86.0,44.0,83.3,9.3
Colegio_20,Antonio Nariño,5,61.3,67.1,66.0,65.1,39.1,1,1,F,59.7,179797,1489362,18.5,9.3,8.2,83.7,26.2,76.6,18.2
Colegio_18,Teusaquillo,3,55.4,51.6,56.3,50.1,55.9,0,1,M,53.8,194327,2990383,5.1,7.0,10.5,94.4,90.1,82.8,10.8
Colegio_40,Ciudad Bolívar,3,42.3,62.0,45.3,48.6,66.4,1,1,F,52.9,633863,1673046,16.4,8.8,9.0,92.3,36.4,83.1,10.0
Colegio_15,Usme,4,70.5,51.3,87.4,45.6,45.3,1,1,M,60.0,495408,1505279,18.8,9.0,9.8,86.0,41.1,93.2,2.1
Colegio_15,Antonio Nariño,5,64.2,58.9,67.9,64.4,54.3,1,1,F,61.9,179797,1489362,18.5,9.3,8.2,83.7,26.2,90.9,13.1
Colegio_24,Barrios Unidos,4,57.2,54.9,37.3,83.3,74.4,0,0,F,61.4,246732,2464266,14.4,8.9,10.2,88.7,70.4,97.2,16.4
Colegio_29,San Cristóbal,5,64.7,55.4,62.1,54.6,42.1,1,1,F,55.8,404902,1665631,20.3,10.8,9.1,86.7,40.2,86.8,7.6
Colegio_17,Antonio Nariño,3,16.1,70.0,51.6,38.3,58.1,1,0,M,46.8,179797,1489362,18.5,9.3,8.2,83.7,26.2,78.0,15.5
Colegio_25,Ciudad Bolívar,3,55.8,55.2,75.3,46.5,47.8,1,1,M,56.1,633863,1673046,16.4,8.8,9.0,92.3,36.4,92.8,19.3
Colegio_16,Antonio Nariño,2,49.9,41.9,61.8,39.6,49.1,1,1,M,48.4,179797,1489362,18.5,9.3,8.2,83.7,26.2,94.0,4.1
Colegio_17,Suba,6,31.5,35.9,41.5,50.5,53.9,1,1,M,42.6,829007,2455432,8.3,7.4,10.2,87.3,75.0,89.0,10.5
Colegio_21,Rafael Uribe Uribe,3,61.5,48.2,40.5,40.1,64.5,0,1,F,51.0,222600,1728859,20.1,7.0,8.9,84.2,37.8,94.3,5.7
Colegio_27,Engativá,6,43.2,62.7,39.0,57.7,38.9,1,1,M,48.3,945826,2815166,9.2,8.6,10.2,91.6,85.3,87.3,15.9
Colegio_5,Puente Aranda,3,72.0,62.2,57.1,69.2,56.8,1,1,F,63.5,246116,1732058,14.5,8.9,9.4,88.2,41.2,88.1,11.6
Colegio_22,Antonio Nariño,3,53.3,64.6,35.1,49.8,76.0,1,1,M,55.8,179797,1489362,18.5,9.3,8.2,83.7,26.2,85.7,12.7
Colegio_33,Bosa,4,63.0,59.9,22.3,46.3,75.2,1,1,F,53.4,748890,1774895,15.5,7.8,9.2,86.0,44.0,75.6,16.0
Colegio_40,Usaquén,6,48.1,59.6,49.2,62.4,61.1,0,1,M,56.1,342004,3238341,5.0,7.2,10.1,93.8,94.4,77.7,7.9
Colegio_2,Kennedy,5,64.9,46.0,40.4,44.0,57.2,1,1,F,50.5,1011301,1855181,16.9,8.3,9.3,88.9,49.2,75.8,18.3
Colegio_35,Engativá,3,72.0,61.8,50.6,41.5,14.3,0,1,F,48.0,945826,2815166,9.2,8.6,10.2,91.6,85.3,90.9,10.7
Colegio_19,Bosa,1,36.1,73.0,29.2,49.8,21.9,1,1,F,42.0,748890,1774895,15.5,7.8,9.2,86.0,44.0,82.9,3.2
Colegio_40,Suba,3,62.4,53.5,53.6,56.3,55.2,1,1,F,56.2,829007,2455432,8.3,7.4,10.2,87.3,75.0,87.7,13.9
Colegio_27,Suba,4,35.2,62.9,55.1,60.1,47.9,0,0,M,52.3,829007,2455432,8.3,7.4,10.2,87.3,75.0,97.7,15.9
Colegio_40,Rafael Uribe Uribe,1,53.6,48.1,41.2,64.0,20.6,1,1,F,45.5,222600,1728859,20.1,7.0,8.9,84.2,37.8,81.2,6.3
Colegio_36,Rafael Uribe Uribe,5,58.1,67.6,32.0,62.6,62.1,0,0,F,56.5,222600,1728859,20.1,7.0,8.9,84.2,37.8,85.3,17.1
Colegio_39,Sumapaz,2,41.9,63.0,54.0,73.0,61.4,1,0,F,58.7,344465,1626165,19.6,7.6,8.7,85.7,34.7,93.9,18.1
Colegio_2,Santa Fe,3,51.0,56.6,68.8,70.6,57.0,1,1,F,60.8,339318,1479614,21.0,9.6,9.4,85.8,37.6,80.7,5.5
Colegio_18,Rafael Uribe Uribe,5,73.0,43.7,25.2,64.5,50.6,0,1,F,51.4,222600,1728859,20.1,7.0,8.9,84.2,37.8,76.9,19.7
Colegio_23,Santa Fe,3,65.7,59.2,55.0,72.5,45.7,1,1,F,59.6,339318,1479614,21.0,9.6,9.4,85.8,37.6,82.2,2.8
Colegio_26,Los Mártires,3,67.4,74.9,23.6,22.8,70.6,1,1,F,51.9,324447,1274484,23.8,8.6,9.0,86.0,27.6,79.0,4.0
Colegio_11,Santa Fe,3,74.6,56.5,62.4,53.0,63.2,1,1,M,61.9,339318,1479614,21.0,9.6,9.4,85.8,37.6,98.2,3.7
Colegio_1,Antonio Nariño,3,51.2,82.5,47.4,55.2,52.3,1,1,M,57.7,179797,1489362,18.5,9.3,8.2,83.7,26.2,95.2,17.9
Colegio_36,Barrios Unidos,1,67.0,39.7,54.5,52.3,44.9,1,0,M,51.7,246732,2464266,14.4,8.9,10.2,88.7,70.4,90.8,13.1
Colegio_20,La Candelaria,3,47.8,46.1,38.5,53.5,41.2,1,1,F,45.4,171142,1311336,23.8,11.6,9.2,84.1,30.3,96.8,3.0
Colegio_31,Fontibón,3,70.0,46.7,69.1,56.3,60.0,1,1,M,60.4,475856,2414409,10.7,7.7,9.3,88.8,61.6,95.1,8.8
Colegio_8,Suba,2,41.5,55.2,65.2,65.6,64.4,0,1,M,58.4,829007,2455432,8.3,7.4,10.2,87.3,75.0,79.7,12.3
Colegio_40,Bosa,5,45.0,66.2,73.2,65.0,56.1,0,1,M,61.1,748890,1774895,15.5,7.8,9.2,86.0,44.0,97.3,1.7
Colegio_24,Barrios Unidos,3,76.0,48.7,42.1,66.4,44.3,0,1,F,55.5,246732,2464266,14.4,8.9,10.2,88.7,70.4,88.5,17.6
Colegio_20,Tunjuelito,2,62.3,55.3,64.4,73.2,41.9,0,1,M,59.4,270499,1603700,19.6,10.3,9.7,89.3,44.5,95.2,16.1
Colegio_15,Usme,2,59.0,61.9,100.0,68.5,52.8,1,1,M,68.4,495408,1505279,18.8,9.0,9.8,86.0,41.1,97.4,10.1
Colegio_30,Ciudad Bolívar,3,52.8,56.7,37.3,46.2,54.1,1,1,F,49.4,633863,1673046,16.4,8.8,9.0,92.3,36.4,83.0,19.3
Colegio_20,Fontibón,3,50.4,55.9,53.5,47.7,64.4,1,1,M,54.4,475856,2414409,10.7,7.7,9.3,88.8,61.6,77.8,8.4
Colegio_38,Puente Aranda,4,54.1,54.2,47.9,45.1,45.7,0,0,F,49.4,246116,1732058,14.5,8.9,9.4,88.2,41.2,80.7,19.7
Colegio_2,Usme,6,53.9,72.2,41.1,51.1,58.8,0,0,M,55.4,495408,1505279,18.8,9.0,9.8,86.0,41.1,85.7,13.4
Colegio_6,Ciudad Bolívar,2,63.2,45.6,62.4,68.8,84.3,0,1,M,64.9,633863,1673046,16.4,8.8,9.0,92.3,36.4,95.5,12.7
Colegio_18,Barrios Unidos,4,75.4,73.6,60.1,48.3,62.6,0,1,F,64.0,246732,2464266,14.4,8.9,10.2,88.7,70.4,96.5,3.3
Colegio_36,Fontibón,3,44.9,48.0,34.0,61.4,44.8,1,0,M,46.6,475856,2414409,10.7,7.7,9.3,88.8,61.6,75.2,17.6
Colegio_14,Suba,3,57.2,63.1,51.2,42.3,45.7,0,1,M,51.9,829007,2455432,8.3,7.4,10.2,87.3,75.0,87.8,8.5
Colegio_26,Teusaquillo,2,64.7,61.9,33.4,52.2,45.5,0,1,M,51.5,194327,2990383,5.1,7.0,10.5,94.4,90.1,85.4,3.2
Colegio_34,Los Mártires,3,51.7,55.0,26.3,54.4,46.8,1,1,F,46.8,324447,1274484,23.8,8.6,9.0,86.0,27.6,80.6,0.3
Colegio_30,Chapinero,2,64.9,55.7,62.3,77.2,59.3,1,1,F,63.9,153158,2764676,5.3,7.4,10.3,96.3,83.6,78.0,11.2
Colegio_7,Antonio Nariño,3,38.5,60.5,65.1,29.5,63.8,0,1,M,51.5,179797,1489362,18.5,9.3,8.2,83.7,26.2,83.4,10.5
Colegio_30,Sumapaz,3,82.6,52.6,47.1,62.4,45.1,1,1,F,58.0,344465,1626165,19.6,7.6,8.7,85.7,34.7,98.6,14.4
Colegio_18,Suba,2,59.1,47.6,43.0,70.8,75.0,1,1,F,59.1,829007,2455432,8.3,7.4,10.2,87.3,75.0,83.1,17.8
Colegio_22,Puente Aranda,3,54.5,68.6,55.9,44.1,53.3,1,1,M,55.3,246116,1732058,14.5,8.9,9.4,88.2,41.2,88.0,1.6
Colegio_17,Santa Fe,3,46.4,51.4,62.2,45.5,76.8,0,1,F,56.5,339318,1479614,21.0,9.6,9.4,85.8,37.6,92.6,14.6
Colegio_31,Los Mártires,4,51.8,55.7,85.8,40.9,81.1,0,1,M,63.1,324447,1274484,23.8,8.6,9.0,86.0,27.6,84.1,3.7
Colegio_17,Sumapaz,3,63.9,52.6,59.5,70.4,39.3,1,0,F,57.1,344465,1626165,19.6,7.6,8.7,85.7,34.7,99.3,17.2
Colegio_31,Puente Aranda,5,83.7,58.5,76.9,48.3,76.8,0,1,M,68.8,246116,1732058,14.5,8.9,9.4,88.2,41.2,99.1,16.4
Colegio_13,La Candelaria,3,39.4,63.8,72.0,73.3,44.1,1,1,M,58.5,171142,1311336,23.8,11.6,9.2,84.1,30.3,81.3,10.8
Colegio_27,Barrios Unidos,4,53.8,46.6,36.8,69.0,54.8,1,1,M,52.2,246732,2464266,14.4,8.9,10.2,88.7,70.4,87.4,14.2
Colegio_20,Usme,3,41.5,27.5,36.1,62.2,44.3,1,1,F,42.3,495408,1505279,18.8,9.0,9.8,86.0,41.1,82.5,6.3
Colegio_17,San Cristóbal,3,40.5,81.3,57.4,55.3,64.7,0,1,M,59.8,404902,1665631,20.3,10.8,9.1,86.7,40.2,82.1,9.4
Colegio_29,Kennedy,2,56.1,40.9,59.0,45.8,47.1,1,1,M,49.8,1011301,1855181,16.9,8.3,9.3,88.9,49.2,75.9,16.4
Colegio_39,Los Mártires,1,49.0,58.0,39.1,62.8,57.4,1,1,M,53.3,324447,1274484,23.8,8.6,9.0,86.0,27.6,90.2,9.2
Colegio_35,Sumapaz,2,59.0,43.8,46.4,49.9,52.4,0,0,F,50.3,344465,1626165,19.6,7.6,8.7,85.7,34.7,87.6,7.2
Colegio_8,Ciudad Bolívar,3,63.3,54.4,49.9,67.5,45.4,1,0,F,56.1,633863,1673046,16.4,8.8,9.0,92.3,36.4,76.3,9.9
Colegio_38,Los Mártires,1,40.0,33.2,48.0,46.2,47.8,1,1,F,43.0,324447,1274484,23.8,8.6,9.0,86.0,27.6,82.0,16.6
Colegio_15,Santa Fe,3,48.6,79.3,65.4,43.0,78.9,1,1,F,63.1,339318,1479614,21.0,9.6,9.4,85.8,37.6,97.7,6.7
Colegio_1,Antonio Nariño,1,51.7,52.6,58.2,61.1,48.8,0,1,F,54.5,179797,1489362,18.5,9.3,8.2,83.7,26.2,81.0,3.5
Colegio_33,San Cristóbal,4,29.0,53.4,68.4,45.4,67.9,1,1,F,52.8,404902,1665631,20.3,10.8,9.1,86.7,40.2,78.6,14.2
Colegio_3,Teusaquillo,3,51.9,64.8,51.0,34.8,41.0,0,1,M,48.7,194327,2990383,5.1,7.0,10.5,94.4,90.1,87.2,16.5
Colegio_39,Ciudad Bolívar,5,39.7,46.6,44.3,52.9,56.4,1,1,M,48.0,633863,1673046,16.4,8.8,9.0,92.3,36.4,99.6,2.0
Colegio_38,La Candelaria,4,52.3,34.5,58.5,73.0,58.3,1,1,M,55.3,171142,1311336,23.8,11.6,9.2,84.1,30.3,81.1,4.8
Colegio_15,Engativá,4,54.4,71.2,78.2,61.5,60.7,0,0,M,65.2,945826,2815166,9.2,8.6,10.2,91.6,85.3,91.8,2.8
Colegio_18,Ciudad Bolívar,5,32.5,30.4,73.2,63.3,51.5,1,1,F,50.2,633863,1673046,16.4,8.8,9.0,92.3,36.4,94.0,7.0
Colegio_38,Teusaquillo,5,41.6,57.8,61.7,54.4,61.3,1,1,M,55.4,194327,2990383,5.1,7.0,10.5,94.4,90.1,80.9,9.0
Colegio_31,Barrios Unidos,3,59.7,37.3,34.3,40.6,66.1,1,1,M,47.6,246732,2464266,14.4,8.9,10.2,88.7,70.4,93.2,15.0
Colegio_20,Santa Fe,3,65.7,59.7,45.7,81.2,47.2,0,1,M,59.9,339318,1479614,21.0,9.6,9.4,85.8,37.6,84.2,13.0
Colegio_7,Ciudad Bolívar,3,77.7,62.2,47.7,70.0,67.7,0,0,M,65.1,633863,1673046,16.4,8.8,9.0,92.3,36.4,90.8,12.4
Colegio_37,Rafael Uribe Uribe,3,59.2,53.0,66.8,48.0,47.5,0,1,M,54.9,222600,1728859,20.1,7.0,8.9,84.2,37.8,90.8,7.0
Colegio_27,Suba,5,47.1,48.2,88.5,74.9,25.8,1,1,F,56.9,829007,2455432,8.3,7.4,10.2,87.3,75.0,88.4,16.8
Colegio_8,Rafael Uribe Uribe,6,44.0,45.6,45.6,58.0,74.7,1,1,M,53.6,222600,1728859,20.1,7.0,8.9,84.2,37.8,77.3,9.4
Colegio_14,Tunjuelito,3,39.7,54.7,49.5,58.7,37.0,1,1,F,47.9,270499,1603700,19.6,10.3,9.7,89.3,44.5,95.9,19.6
