User Name;Comment Text
@AnaMilenaTobon;Juan, he visto videos de la India, pero tu manera y osadia me encantan! Que fuerza moral, que empatia y respeto de tu parte, de tus opiniones  por culturas y religones milenarias tan lejanas de nuestra percepcion,  bravo. Eres unico. Cuidate!
@deustocasa3078;Estuve allí hace 35 años y veo que sigue igual , realmente he revivido las sensaciones contigo . Yo no me descalce, no fui capaz . Vanarasi es una ciudad muy muy fuerte para los occidentales , hay que respetar sus creencias pero yo tras ese “ paseo” solo quería ducharme y tirar todo lo que llevaba , hace 35 años estaba lleno de leprosos que acudían alli para morir. India es impresionante , pero jamás volvería a vanarasi gracias por el reportaje , es tal cual lo muestras
@monaospina5152;"Niño, que documental tan fuerte.
Doy  gracias a Dios por nacer en Colombia, esto nos enseña más apreciar  a América . Gracias a Dios viajó mucho pero nunca  pensé India pero ahora no,no,.
Gracias Juancho por ver los perritos. Cuídese y mil bendiciones BRAVO ????????????????????"
@Jan-n6w5t;Gracias Juan. Estoy orgullosa por qué tú nunca denigras a nadie y tratas a todos con dignidad y respeto. TE AMO. GRACIAS POR QUE VIAJO CONTIGO. ???
@RobertRCA;Juan tienes estómago de acero! Yo no creo haber aguantado a ver tanta suciedad con todo el respeto que se merecen los amigos de esas culturas. Cuida tu salud y gracias por tus excelentes videos. Se aprende mucho con tus videos, eres un verdadero influyente. ????
@cardioide-;"De verdad que le agradezco muchísimo a mi compatriota Juan Felipe Díaz (se que detesta su otro apellido). Por estos vídeos tan instructivos, mostrando lugares en donde jamás estaré. Porque el dinero que gastaría yendo a la India me lo gastaría visitando incluso en repetidas ocasiones, otros lugares más atractivos.

Entonces, me basta mucho con ver estos vídeos y puedo decir que Juan hace el ""trabajo sucio"" por nosotros, siendo que yo nunca querría por ejemplo meter mis pies en esas aguas sucias y enlodadas u oler ese humo malsano. De verdad gracias por tanto Juan. Un saludo a la abuela bogotana desde Bogotá. ??"
@jhonnysancheztapia1015;Juan, son tantas las vivencias que él describe de una manera espectacular que nos deja paralizados en la pantalla hasta que termina el video. La manera de narrarnos cada momento captado por su cámara nos emociona. Gracias, Juan, por llegar hasta esos lugares y entregarlo todo por el todo. Los simples mortales que estamos del otro lado de la pantalla lo agradecemos muchísimo. ¡Bendiciones!
@FélixManuelCepedaSanchez;Hermano Dios lo libre de una enfermedad, usted tiene mucha valor bendiciones,
@rosariomuriel1966;Muchas gracias Juan, y si efectivamente la India no es para todo el mundo, mi hija, yerno y yo fuimos y ellos dicen no regresarian y yo si, aunque no llegamos a Varanasi, es increible tu experiencia, de nvo, gracias por regalarnos todo este aprendizaje ?????? soy de la Cdmx México ????
@ofelianovoamartinez9475;Cada nuevo video tuyo me impactan más por lo profesional que eres y el respeto que le demuestras a la gente y los lugares que visitas. Es un deleite verte y escucharte. Saludos desde México
@gilbertsos3460;Domingo en la mañana, es mi día libre, y nada mejor que estar en mi cuarto viendo tus vídeos bro. Eres un grande, saludos y bendiciones desde Falcón, Venezuela. Me encantó tu serie de vídeos de mi Estado, espero regreses pronto y poder coincidir de pura casualidad en alguna parte ?????????????.
@misafe1094;"Juan, TE MERECES MUCHOS PREMIOS POR TU TRABAJO ""EXCEPCIONAL!!!""; LUGARES Y SITUACIONES INCREÍBLES,  PERO TAMBIEN ARRIESGANDO TU.Este viaje a India es un Ej. Muy Evidente.ERES EL MEJOR,SIN DUDAS!!!.CUIDATE."
@Torito001;Juan, Juanito mi amigo. Admirarlo su valentía y predisposición de estar en esos lugares. Pero gracias  a ti , puedo conocer lo increíble que es el mundo. Cuídese siempre.
@lizerika1;No me cansaré de seguirte. Qué orgullo tener a un compatriota tan valiente y aventurero montrándonos a miles de personas  lugares tan enigmáticos e increibles. Mis respetos y admiración para ti Juan.
@quetzallipadilla9127;Yo también conozco buena parte del mundo y coincido contigo en qye Varanasi es un lugar que nos va a quebrar la cabeza a todos los que no compartamos esas creencias. Me impactó ver el nivel del río tan arriba que se metía hasta las calles, Pero aún más lo valiente que eres por ir hasta los crematorios. Yo no me atreví y simplemente los vi desde lejos tanto de las escaleras (ghats) cómo desde una lancha. Pero la vista de un brazo saliendo de una hoguera jamás se olvida ?? Con tu video volvi a sentir las mismas náuseas que en ese viaje que realicé hace ya más de 10 años ??
@carolinarosas6315;"Mis respetos para este video Juan, la forma en la que te expresas sin mostrar disgusto (porque he visto a varios hacer muecas), y el respeto al filmar este ritual, que sin duda tuvo que ser dificil para ti, a nivel fisico y mental. 

Y mención aparte, tus nervios de acero al entrar descalzo a esa zona."
@FPNWVDFI32;"es un contraste tan grande entre la india y latam.
en latam tendremos alguna que otra dificultad pero puedo apostar que todos elijiriamos vivir en algun lugar de latam antes que la india. 
a mi me agobia imaginarme estar alli, tanto ruido, tanta contaminacion etc..."
@CoyitadeEcuador777;JUAN LE AGRADEZCO TANTO POR  LLEVARNOS CON USTED y HACERNOS CONOCER LO QUE NADIE LO HACE MIS RESPETOS PARA CON USTED Y SU CANAL, DIOS ME LO BENDIGA!!
@alexandrabrinez8363;Es una mezcla incomprensible para nosotros ,que no somos de ese país las imágenes que emos visto atraves de ti, gracias  Juan eres muy valiente .
@amb4125;3:49 en definitiva no es para todo el mundo, yo no podria ir por allá y aceptar caminar o estar ahì, por eso amo este canal, nos muestra cosas que nunca podremos ver o seriamos capaz ?
@lucitanialeal9147;"Gracias por ir, ver, oír y oler por nosotros.  Es digno de admiración y respeto todo el esfuerzo para hacer este contenido en particular.
Gracias, muchas gracias.
Yo también me llevo  aprendizaje."
@monicahuanca3540;Juan , que bárbaro esto!!! Me imagino lo que te costó respirar ahí,mira todo lo que haces por mostrarnos la historia gracias Juan,!!! ??????chaooooli ????
@marilinamosqueda3711;Querido Juan, que trabajo! Que duro, que basto es el mundo para que todos podamos convivir ante tanta creencia, religión y costumbres. Gracias por mostrar un tema tan fuerte, tan real, tan arraigado. Increíble! Cuídate mucho que queremos Juan para rato. Abrazo!
@yolandaotavo303;"Es nivel Dios!!!
Interesante el desapego y como aceptan la muerte 
No tengo palabras 
Es diferente ser pobre a ser tan pero tan sucio!!
Es impresionante 
La verdad vivimos en un paraíso 
Uno se hace su ambiente 
Pero allá es otro nivel 
Gracias Juan por exponerse y mostrar la diversidad de culturas ?"
@maritzasuarez1573;Yo soy cubana, y por mucha miseria o necesidades q tenemos en nuestro país, jamás un cubano se metería en esas aguas, admiro tu valentía en enfrentarte a tantas epidemias, recuerdo cuando estuviste en Cuba y el maravilloso trabajo q hiciste en tus videos mostrando muchas verdades de aquí, bendiciones
@mercyrodriguez3881;"Aquí es donde agradecemos haber nacido en esta parte del mundo, mi Colombia querida 
Gracias Juan por llevarnos a esas culturas tan locas ??"
@patriciaromero5237;"Que valiente eres Juan, tienes razón al decir que no es para todo el mundo, la verdad yo no iría; el solo pensar en que sin zapatos tendría que caminar pisando cenizas y lugares donde colocan cadáveres, mojarme con agua donde sumergieron cadáveres, nooo gracias , no voy ahí. Gracias por este video, tus experiencias al extremo..."
@Ika.2104;Mis respetos, creo que adquiriste muy buenas defensas en ese viaje. Estos videos son capaces de transmitir la sensación de  olores y tacto al pisar aguas como la de ese río y en esas condiciones. Creo que el templo de las ratas era pulcro al lado de este río. Gracias por mostrar tu experiencia con el respeto propio que siempre tienes.
@SkynetTabManu;El máximo triunfo de la romantizacion de la pobreza y la insalubridad, lograda por medio de la herramienta de control más poderosa de todas la r3ligi0n
@Letiquinn;Estaba esperando tu video en Varanasi!! Yo estuve ahí hace unos años, y fue muy especial. Creo que por la energía que tiene, tuve pesadillas todos los días que estuve! Coincido que no es para cualquiera, a mi me encantó haber conocido India y que me haya revolucionado la cabeza! Excelentes videos, saludos desde Argentina!
@miguelangelriverasandoval3120;Juan eres el mejor creador de contenido  de viajes de todo latam
@cindyleon4884;De qué te cambia la manera de pensar y de ver la vida, sin lugar a dudas! Interesante mirada al otro del mundo para todos aquellos que nos quejamos día tras día. Yo por mi parte estoy agradeciendo cada minuto la vida que me ha tocado vivir. ??
@jessicaandreaescobarcardon2883;"Me genera muchas sensaciones ver esto, eres muy teso y te admiro mucho; me gusta mucho conocer nuevas culturas, pero creo que esto ya es otro nivel, me confronta demasiado ya que soy un poco asquienta. Gracias Juan por mostrarnos esto!"
@ClaraMoreno-sv2le;Siempre estaré agradecida por sus excelentes videos,con los cuales aprendo cada vez mas costumbres del planeta saludos a la abuela
@yennyhm;"Wow este video es muy muy fuerte! Mis respetos para Juan. No me atreveria a ir a un lugar asi. Es demasiad para mi. 
Valiente este muchacho, esta exponiendo su salud alli. Un abrazo desde Perú y mi agradecimiento total por todo ese esfuerzo de compartirnos sus experiencias Dios te guarde de todo mal ??????"
@CESAR18604;Los Indus son inmortales, viven de una manera casi imposible para otras culturas, los elementos necesarios para la vida están contaminados el aíre, el agua, la tierra y si sobreviven a eso se juegan la vida en el transporte público.
@adrianabarboza9451;Juan todos tus videos de la India han resultado retadores de ver… no me imagino lo que ha sido grabarlos. Exc videos, gracias por darnos esta ventana al mundo
@hdsystems1990;4:20 Apenas llevo esto de video viéndolo, pero me atrevo a decir que este es el video mas impactante que he visto de este canal.
@marielosarias6403;Muchas gracias Juan por todo el esfuerzo  en presentarnos estas realidades. Siempre valoro tu actitud respetuosa y muy humanista. Éso hace grande y respetable tu canal. Saludos desde la Costa Rica ????
@mmmarce1;Eres extraordinario, querido Juan. No me cansaré de agradecer todo lo que nos compartes y el gran esfuerzo que haces en lugares tan críticos y complejos como este. Mil gracias por tanto.  ?????
@osmarazuniga7994;Y el perrito ?? dice haber donde está mi pedazo de carne asada ??????????????
@anastasiaurgiles6210;La próxima vez, lleva botas de caucho
@gustavojerez6968;Que cosas tan locas se ven en este mundo increíble
@dk_3;"Parcero eso si es tener huev0s!!! 
 eres una persona muy valiente. 
Cuídense mucho y cada uno de tus suscriptores esperamos tu siguiente video con ansias"
@M.Martin-wd6d;Cada logro comienza con la decisión de intentarlo y tú, Juan, en cada viaje no sólo lo logras sino que nos ayudas a vivir la aventura contigo. Gracias.
@fernandomacias8816;Eres de los mejores  youtubers. Tu información. Tu forma de hablar. Lo cultural de lo que muestras y sobretodo  la forma tan poética y hasta algo graciosa de comentar y lo berraco de estar en esta clase de sitios te hacen uno de los mejores estando en mi top personal.
@neisaramos713;Videos como este, te hacen tan especial y único, que nadie puede igualarse! Debe haber sido, muy fuerte y difícil!
@josepujol6516;Juan....mis respetos hermano. Nadie más que tú es capaz de hacer un video con este y otras temáticas sin juzgar, sólo presenciar y transmitir lo que ves, hueles y sientes, y con un gran respeto por los lugareños que simplemente te abren las puertas de sus casas y de sus vidas, sin importar ni el idioma ni la religión. Qué bueno que tú sí dominas ese lenguaje universal de la empatía y la comprensión. Saludos.
@claverpineda78;Es muy interesante ver la realidad de una cultura bien diferente y audaz, a nosotros nos parece muy extraño todo este proceso de sentir el duelo por la partida de un ser querido, la india tiene una visión muy diferente, la reencarnación y su rueda de Samsara es de otro mundo.
@MyRterry;Usted se merese un Oscar..??????
@MauroQuinn;Como siempre PlanetaJuan mostrando cómo ser un influyente en redes sociales. Esto es contenido de calidad. Gracias por compartir.
@alamichino;Cuando veo este tipo de culturas uno se da cuenta lo inmensamente distinta que pueden ser las sociedades alrededor del mundo. Uno se acostumbra tanto a lo que vemos al rededor de donde vivimos que vemos sumamente extraño este tipo de cosas... Y pensar que para ellos esa es su normalidad ????
@LanguascoLoterno;Cualquiera que no sea de ese entorno curtural puede coger una infección o bacteria y enfermarse cuidate juan por hay,
@gemansadenu739;Juan tienes fortaleza mental, para soportar el ambiente muy contaminado, el estrés del entorno. Buen vídeo. Dios te bendiga.
@anabeldiaz7561;Admiro tú serenidad, tú valentía y sobre todo tú curiosidad por conocer y experimentar todas esas culturas. Mis respetos ?
@yoli631;Definitivamente, NO es para mí. Lo pensaría mil veces visitar o conocer la India, no es sólo el Taj Mahal ????
@estebanarangosierra;Este man se esfuerza mucho por hacer este contenido??, casi como estar en una playita  en el caribe ese destino.
@Maryf-p2h;Hola! Recibe mi saludo desde Washington! Admiro tú valentía por hacer estos videos, desde esos lugares tan remotos, y que no debes ser tan escrupuloso, me imagino, como para caminar en ese lugar tan desagradable y que lo hiciste también en el templo de las ratas?? y te atreviste a probar la comida tan sucia llena de moscas! Yo te deseo todo lo mejor y te mando muchísimas bendiciones, que no te vaya a suceder, nada negativo por allá eres admirable!!?
@albertomontoya4471;Tanta vanidad del ser humano y cada vez más egoísta cuando al final volvemos de donde hemos venido de la nada . Eres un valiente  al ver la realidad en vivo y en directo
@alfonsodespouy;Un buen inicio de domingo con Planeta Juan ... saludos y gracias ??????????
@GracielaDalcin;Que impresionante!!! Muchas veces vi fotos y videos de este lugar, pero nunca con tanta realidad como en este video, todo es muy fuerte, hay que ser muy intrépido para ser parte , aunque sea por un dia , de estos rituales. Juan, cuanto profesionalismo!!! Y que temple para mezclarte y vivir esos momentos , que solo se dan en ese lugar del mundo. Definitivamente el video más audaz , el que refleja la realidad con una autenticidad única. Felicitaciones Juan!!!!????????
@marydim16;Impactante y conmovedor documental! Diría que eres como un antropólogo visual. Admiro como te sumerges en la cultura y sociedad. Describes con respeto las creencias o costumbres de las personas, sin dejar de lado la dignidad que merece cada ser humano.
@norwaycincuenta3191;Juan , nadie como tú para documentar estas situaciones terribles de la vida y el mundo , eres muy valiente, me han hecho pensar tanto tus últimos videos.  Que fuerte para ti también asumir emocionalmente estas circunstancias wooow mis respetos y que locura tan inmensa, gracias Dios por donde nací y como vivo !!! Ni quejarme de absolutamente nada
@jacquelinevierarodriguez4982;Super interesante Juan. Como aprende uno contigo. Definitivamente las culturas son diversas en esto el mundo. Estoy impactada. El rio mas infectado del mundo y parece nadie tener una infección cutanea. Me impresiona que sea el poder de su fe quien los salva de una gran peste que podría exterminar a muchos de ellos, sin embargo todos caminan normal y casi satisfechos, casi felices por cada oportunidad dada por sus creencias y costumbres.
@tuttodev;Minuto 22:48 pobre señora le pego la moto
@astridpinilla5649;"Uuufff Mí estimado Juan F es impactante la serie de tus videos de Pakistan e India. 
Wow eres único al andar por Varanasi y el rio Ganges descalzo por esos lugares tan bravos en todo sentido que mezclan todo tipo de emociones, sensaciones, sentimiento y sentidos …. Porfis cuídate mucho, especialmente tu salud e integridad física. 
Gracias por todos y cada uno de tus impresionantes videos en cada lugar del planeta, tu planeta Juan y el  nuestro con todas las locuras que nos acompañan.
Saludos desde tu tierrita Bogotana.

Astrid????"
@heidicarolina6562;3:41 ¡qué ascoooo! ????????. Muchas gracias, Juan, por tu sacrificio, eres un valiente.
@Leben5;Mi respeto a los hermanos indios hinduistas y a su cultura. Me parece que tienen gobiernos y política que además de corrupta, no les interesa el pueblo, la gente y su sufrimiento... Respeto total por la manera de pensar de la gente simple... y sobre todo me causa admiración que la gente como sea, necesita y quiere seguir la fe y buscar a Dios aunque los caminos sean muy diferentes a los nuestros! ... Ufff Juan este video me dio de todo... No se ni que sentir, ni que decir,.. De solo pensar en estar allí me dio ganas de correr, de no querer ver ni escuchar todo ese ruido, esa agua turbia, ese humo lleno de muerte, ese despelote de gente llendo y viniendo... Hermanos, seres humanos viviendo en ese desorden de vida pero en la búsqueda de que quizá el sufrimiento les ayude a trascender y salir de alli... Estará allí Dios?... Estarán las almas de los cuerpos quemados en paz?... Será esa gente feliz viviendo todo ese caos?
@ingridramirez1748;No quiero que termine esta serie Juan, muy buena. Eres una gran contador de historias ???
@marinaramirez6166;"Sólo me imagino  pararse  descalzo en ese río  y toda esa suciedad 
Ay  señor que cultura
   Muchas  gracias  por hacer que  conozcamos todo eso 
Sr Juan que Dios lo bendiga ?? cuidese"
@melvinsamuelbrackettalvare82;Excelente videos Juan, eres el único de los muchos que he visto reportan to sobre la India y la Fé de su gente, con la excepción de que usted tiene el cuidado de informarse bien para así informarnos, gracias por tu ardua dedicación!!!! ??????????????
@nancymoralescaballero7007;Juanito,no me cansó de decir eres el mejor .hasta donde llegan las creencias y cada una de ellas respetables, un abrazo y nuestro Dios te proteja ?? ??
@susanazavala3746;Me quedo sin palabras, Juan honestamente como se ve que te encanta hacer lo que haces, eres todo un profesional y con que respeto lo haces, este video me dejó impactada para nosotros que no estamos acostunbrados a estas costumbres y por consiguiente se respetan, gracias Juan por mostrarnos, solamente me doy cuenta de lo bendecida que soy de vivir en un gran país como lo es ????????
@anddrearuiz569;De la india distingo en grupos literarios muchos escritores y poetas que compartimos el gusto por la literatura! Pero todo esto es a otro nivel, vivo en Cali. Pero soy de Bogotá Colombia. Muy buen documental realmente impresionante!! ??????
@elvaruiz6968;JUAN ME ENCANTAN TUS VIDEOS PERO POR FAVOR NO TE ARRIESGUES TANTO PONTE POR LO MENOS UN CUBRE BOCAS ESE AIRE CONTAMINADO QUE RESPIRAS SE TE QUEDA EN LOS PULMONES Y PARA ALGUIEN QUE NO ESTA ACOSTUMBRADO PUEDE SER MORTAL POR FAVOR CUIDATE MUCHO SE QUE ES PARTE DE TU TRABAJO PERO CUÍDATE AHORA ME EXPLICO EL PORQUE DE TANTOS MUERTOS  DESCANSEN EN PAZ BENDICIONES SALUDOS DE CHIHUAHUA MÉXICO ???????
@oscarmoreno4034;Que Crack Juan!! El verdadero Influencer!!! Mis respetos. Saludos desde tu ciudad. Santafe de Bogotá!!!
@mayrajohan;Que cosa más increíble y espantosa!! Que obsesión tiene esta gente con el fuego y la suciedad. Nunca había visto un documental sobre este rio tan bueno como este. Eres el rey de los “travel vlogs”. ??
@rapr5520;"Gracias Juan por tan profesional reportaje, admiro tu valor y entrega para estar en ese lugar con tanto respeto y seriedad para esa gente. 
Que aunque en América, la mayoría de las personas no compartimos sus formas de vivir, mucha insalubridad ?? aun así les respetamos. 
Yo en lo particular admiro a los hindues por su gran respeto que tienen a la vida, particularmente el gran respeto que ellos tienen a los animales, aún que no respetan los ecosistemas donde viven los animales ?? y contaminan tanto el planeta, como es el caso de este río Ganges ??"
@mard9213;"Gracias #planetajuan por ese recorrido por la India, es increíble la diversidad de culturas y creencias, más allá de lo imaginable. Definitivamente el mundo ???? está lleno de submundos y tus vídeos nos muestran que no necesitamos conocer otros planetas, con conocer el nuestro y su diversidad infinita es suficiente. 
Por favor cuídate, por los pies también pueden ingresar muchas bacterias y, nunca está demás, tomar precauciones. Bendiciones ??"
@dalylopezmedina;Juan , la India lo tiene todo , suciedad , gente con costumbres bizarras , cosas inimaginables , creencias extrañas, cuídate mucho la salud y que Dios te bendiga , abrazos desde República Dominicana ??República Dominicana ??
@nubiaecheverry8583;Mi Juan siempre mi Juan ?????...por favor ten cuidado....
@reinaldosuarez7486;Juan es el mejor cronista, documentalista o comunicador hoy por hoy en las redes, cuán valioso resulta tu trabajo hombre!.
@curious7w7;14:08 Juan no solo es espectador, el vive la experiencia ????
@LADYCAROLINAACOSTANUNPAQUE;QUE TRISTEZA VER A LA GENTE VIVIENDO ASI, ESE VIDEO ES UN PEQUEÑO ABRE BOCAS DE LA REALIDAD QUE VIVE LA GENTE EN ESE LUGAR.
@donattavacca743;Quisiera tener esas defensas para no enfermar. ????
@osvalbel;me gusta el contenido de plantea juan, porque va mas allá de lo que nadie muestra: el pais real. Muchos influencers que muestran viajes, lo hace desde el punto de vista turistico. Gracias a el planeta juan porque nos permite conocer la realidad del planeta de una forma sencilla, y sin arandelas.
@johanacatherineduranmonroy3152;"Solo me pude imaginar. Una infección si hubiera alguna herida abierta.
Me quedo con mi credo gracias.??"
@anitadominguez9343;"Gente de la india tomando agua de Varanasi: ????

Yo comiendo sandía en la noche: ??????????"
@lucas3080;Wow,  que impresionante. Con todo respeto no iría a ese lugar. Saludos Juan ?? y ten cuidado en el cruce de calles..??
@yurianyquitian4945;Juan gracias por mostrar al mundo todo lo que muy pocos valientes están dispuestos a hacer. Pido al universo protección para ti por todo lo que tú mente y cuerpo puede soportar fisicamente. En estos lugares inéditos.
@ceciliavillanueva9166;Juan realmente eres un verraco mano para meterse allá mano es algo pero bravo creíble increíble increíble Juan no deja ver parte de creencias que ni teníamos por imaginación increíble increíble estoy abrumada????
@judithedery5821;Que experiencia!!! Te pasaste!! Abrazo desde Buenos Aires
@IngridGaucher;La muerte siempre es un tabu sin importar la religion o cultura. No imagino cuantas almas en ese lugar, pesada la energia.
@andresfelipelamearce8142;Mis respetos, un nivel de fé increíble para esta gente, Juan la verdad usted es un duro parcero de admirar.
@marilu0302;Pensé que mi capacidad de asombro se había agotado ya que voy venezolana y vivo en Caracas Venezuela con todo lo que nos están haciendo pero cada vez que veo un vídeo tuyo Juan me doy cuenta que no. Gracias por llevarnos a viajar a esos lugares asombrosos y enseñarnos como viven en otras latitudes. Un abrazo apretado después de que te hayas dado una súper ducha ??
@danielalejandro9188;Dios descubri tu canal hace menos de un mes y es lo mejor que me pudo pasar,lo que transmite cada imagen es increible! desde entonces me veo todos tus videos
@IdaniaUSA-zh6mv;Cuánto valor para hacer esos videos tan peligrosos para su salud, cuidase mucho que no hay dinero en el mundo que valga la vida de uno.  Bendiciones.   Siempre veo sus videos porque son únicos
@hasramdonatello3973;Uyyyyyy lo montaste hace 14 minutooooooS!.... Ahora, a disfrutarte. Cafecito, desayuno contigo y vivirme tú viaje y vídeo. DiooooooS como me encantas!? Desde Caracas Venezuela un abrazo enorme!
@margaritasanchez6525;La India un país verdaderamente insólito ??
@stargauysil338;Uno la verdad que no sabe si reír or llorar o que … lo que sí es que sopapo bien dado en la cara de cada unos de nosotros que nos quejamos por estupideces …
@LadySuarez-q5d;"Juan gracias totales por permitirnos conocer el mundo a través de tu lente, este claramente me ha dejado sin palabras,  me ha dejado con mas preguntas que respuestas, si bien hay temas que no comparto, entiendo que ellos ven la muerte como algo sagrado, como lo  que es;  algo netamente natural, a diferencia de los occidentales que no nos gusta hablar mucho de ella. Gracias por tu profesionalismo, mi familia y yo esperamos con ansias tu siguiente video."
@doritacaceres127;La contaminación debe ser extrema ??y pensar que son seres humanos, con esas culturas y pobreza, y que hayan construido una maravilla del mundo y que no hagan un cementerio para esos cadáveres también la cultura la cuidan al maximo ????
@madgiamusic7417;Juan.. que viaje  te has dado por estos lugares  que , como dices, desafían cualquier paradigma. Estético, se salubridad, y sentido comunun!!???? mis respetos y admiración!! Abrazo grande cariños desde Bogota!! COLOMBIA!!?????
@analadino9474;"Eres muy valiente y arriesgado al hacer estos videos.
Gracias por darnos a conocer las diferentes cultural del mundo"
@DanielaMorales-g9f;Perdón, no quiero ofender a nadie pero de verdad ese país me da un asco que no puedo controlar... JAMÁS iría para allá. Mis respetos a ti Juan por tu aguante y profesionalismo.
@giovannylargohernandez5747;Nunca me imagine esta situación, si el video es fuerte ya, tener la experiencia de vivirlo lo debe sacar a uno de la zona de confort.
@fernandolozada9915;Descubrí el canal y simplemente tengo que darle las gracias por tan excelente contenido??
@RavencrowDG;Llegué más rápido que las bacterias en la India
